Season,Product Name,Weekly Sales
Autumn,"Berry Moon Anti-Aging Collagen Mask for hydration, dark spots, and enlarged pores. With rosewater and coconut oil. Large 4oz jar.",278031.81
Spring,"YO1 Naturals Face Mask - Healing Clay, Helps Cleanse, Moisturize & Detoxify - Made for All Skin Type - Natural and NON-GMO, 1.1 Oz (30 g)",273282.97
Summer,Papa Recipe Black Honey Mask Pack 10 pack,268929.03
Winter,"Neutrogena Pink Grapefruit 100% Hydrogel Face Mask Acne Prone Skin Naturally Grapefruit Extract, Single-Use Ref (Pack of 3)",260636.71
